Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Peanuts, dry roasted, salted",42111200,2804,Nuts and seeds,587,24.35,21.26,4.9,8.4,49.66,7.723,26.181,9.773,0,0,0,0,0,0,0,0,0.152,0.197,14.355,0.466,0,97,97,97,64.6,0,0,0,0,4.93,0,0,58,363,178,1.58,2.77,0.428,9.3,634,410,0,0,0,0,0,0,0,0,0.016,3.982,1.2,0.031,25.435,0.627,0.055,9.715,0.026,0,0.016,0,0,0,1.81
"Peanuts, dry roasted, unsalted",42111210,2804,Nuts and seeds,587,24.35,21.26,4.9,8.4,49.66,7.723,26.181,9.773,0,0,0,0,0,0,0,0,0.152,0.197,14.355,0.466,0,97,97,97,64.6,0,0,0,0,4.93,0,0,58,363,178,1.58,2.77,0.428,9.3,634,6,0,0,0,0,0,0,0,0,0.016,3.982,1.2,0.031,25.435,0.627,0.055,9.715,0.026,0,0.016,0,0,0,1.81
"Peanuts, honey roasted",42111500,2804,Nuts and seeds,574,20.7,30.02,16.14,7.1,45.25,6.966,23.525,9.459,0,0,0,0,0,0,0,0,0.129,0.17,12.202,0.396,0,82,82,82,54.9,0,0,0,0,4.76,0,3,49,309,151,1.35,2.36,0.365,8,539,349,0,0,0,0,0,0,0,0,0.015,3.673,1.106,0.037,22.859,0.553,0.047,9.278,0.153,0,0.014,0,0,0,1.54
"Peanuts, NFS",42111000,2804,Nuts and seeds,587,24.35,21.26,4.9,8.4,49.66,7.723,26.181,9.773,0,0,0,0,0,0,0,0,0.152,0.197,14.355,0.466,0,97,97,97,64.6,0,0,0,0,4.93,0,0,58,363,178,1.58,2.77,0.428,9.3,634,410,0,0,0,0,0,0,0,0,0.016,3.982,1.2,0.031,25.435,0.627,0.055,9.715,0.026,0,0.016,0,0,0,1.81
"Peanuts, NFS",42111000,2804,Nuts and seeds,587,24.35,21.26,4.9,8.4,49.66,7.723,26.181,9.773,0,0,0,0,0,0,0,0,0.152,0.197,14.355,0.466,0,97,97,97,64.6,0,0,0,0,4.93,0,0,58,363,178,1.58,2.77,0.428,9.3,634,410,0,0,0,0,0,0,0,0,0.016,3.982,1.2,0.031,25.435,0.627,0.055,9.715,0.026,0,0.016,0,0,0,1.81
"Peanuts, roasted, salted",42111100,2804,Nuts and seeds,599,28.03,15.26,4.18,9.4,52.5,8.655,25.995,15.303,0,0,0,0,0,0,0,0,0.085,0.089,13.825,0.461,0,120,120,120,55.3,0,0,0.8,0,6.94,0,0,61,397,176,1.52,3.28,0.533,3.3,726,320,0,0,0,0,0,0,0.038,0.038,0.038,5.049,1.403,0.038,25.231,0.613,0,15.114,0.038,0,0.038,0,0,0,1.45
"Peanuts, roasted, unsalted",42111110,2804,Nuts and seeds,599,28.03,15.26,4.18,9.4,52.5,8.686,25.976,15.292,0,0,0,0,0,0,0,0,0.085,0.089,13.825,0.461,0,120,120,120,55,0,0,0.8,0,6.91,0,0,61,397,176,1.52,3.28,0.533,3.3,726,6,0,0,0,0,0,0.038,0.038,0.038,0.038,5.045,1.402,0.038,25.212,0.612,0,15.103,0.038,0,0.038,0,0,0,1.45
"Peanuts, unroasted",42111040,2804,Nuts and seeds,567,25.8,16.13,4.72,8.5,49.24,6.279,24.426,15.558,0,0,0,0,0,0,0,0,0.64,0.135,12.066,0.348,0,240,240,240,52.5,0,0,0,0,8.33,0,0,92,376,168,4.58,3.27,1.144,7.2,705,18,0,0,0,0,0,0,0,0,0.025,5.154,1.1,0.009,23.756,0.661,0,15.555,0.003,0,0,0,0,0,6.5
"Pear, Asian, raw",63137050,6020,Pears,42,0.5,10.65,7.05,3.6,0.23,0.012,0.049,0.055,0,0,0,0,0,0,0,50,0.009,0.01,0.219,0.022,0,8,8,8,5.1,0,0,3.8,0,0.12,0,4.5,4,11,8,0,0.02,0.05,0.1,121,0,0,0,0,0,0,0,0,0,0,0.01,0.002,0.001,0.047,0.001,0,0.054,0.001,0,0,0,0,0,88.25
"Pear, canned, juice pack",63137170,6020,Pears,45,0.23,11.79,10.03,1.5,0.07,0.009,0.007,0.019,0,0,0,0,0,0,0,37,0.008,0.015,0.064,0.026,0,1,1,1,3.8,0,0,1.1,0,0.08,0,0.3,6,9,6,0.29,0.1,0.051,0,100,5,0,0,0,0,0,0,0,0,0,0.007,0.001,0,0.007,0,0,0.017,0.002,0,0,0,0,0,87.63
"Pear, canned, NFS",63137110,6020,Pears,52,0.2,13.47,11.81,1.5,0.06,0.006,0.007,0.012,0,0,0,0,0,0,0,34,0.008,0.013,0.057,0.02,0,1,1,1,3.4,0,0,1,0,0.07,0,0.3,5,8,5,0.25,0.09,0.049,0,75,3,0,0,0,0,0,0,0,0,0,0.004,0,0,0.007,0,0,0.012,0.001,0,0,0,0,0,86.05
"Pear, raw",63137010,6020,Pears,59,0.37,15.18,9.73,3.1,0.15,0.022,0.084,0.094,0,0,1,1,12,2,0,46,0.012,0.026,0.162,0.028,0,7,7,7,5.1,0,0,4.3,0,0.12,0,4.2,9,11,7,0.18,0.09,0.077,0.1,104,3,0,0,0,0,0,0,0,0,0,0.017,0.003,0.002,0.081,0.001,0,0.093,0.001,0,0,0,0,0,84.02
"Pecans, NFS",42112000,2804,Nuts and seeds,750,9.96,12.7,3.97,5.8,73.28,6.46,39.3,22.9,0,0,3,0,29,9,0,17,0.548,0.13,0.946,0.171,0,22,22,22,40.5,0,0,1.1,0,1.4,0,4.1,55,253,103,2.37,3.93,0.906,3.8,360,0,0,0,0,0,0,0,0,0,0,4.366,1.745,0,40.594,0.207,0,20.628,0.986,0,0,0,0,0,2.62
"Pepperoni, NFS",25221250,2602,Cold cuts and cured meats,504,19.25,1.18,0,0,46.28,17.708,20.77,4.458,97,0,0,0,0,0,0,0,0.271,0.257,4.987,0.362,0,5,5,5,51.2,1.3,0,0,1.3,1.03,0,5.8,19,158,18,1.33,2.44,0.091,29,274,1582,0,0,0,0.003,0.001,0.002,0.028,0.034,1.029,10.316,5.749,1.367,18.69,0.255,0.004,3.91,0.168,0,0.113,0.004,0.02,0.004,28.55
"Peppers, banana, raw",75124000,6420,Other vegetables and combinations,27,1.66,5.35,1.95,3.4,0.45,0.048,0.027,0.243,0,0,17,39,184,0,0,0,0.081,0.054,1.242,0.357,0,29,29,29,7.4,0,0,82.7,0,0.69,0,9.5,14,32,17,0.46,0.25,0.094,0.3,256,13,0,0,0,0,0,0,0,0,0.001,0.036,0.007,0.002,0.025,0,0,0.24,0.003,0,0,0,0,0,91.81
"Peppers, hot, raw",75121000,8406,Mustard and other condiments,34,1.39,7.66,4.71,2.2,0.4,0.067,0.027,0.176,0,0,51,52,548,72,0,785,0.056,0.078,1.262,0.463,0,25,25,25,9.2,0,0,131.2,0,2.13,0,16.2,13,34,19,0.64,0.2,0.088,0.4,285,6,0,0,0,0.002,0,0,0.001,0.002,0.005,0.042,0.012,0.002,0.024,0,0,0.145,0.03,0,0,0,0,0,89.86
"Peppers, raw, NFS",75122000,6420,Other vegetables and combinations,27,0.81,5.72,3.3,1,0.12,0.058,0.008,0.109,0,0,88,20,916,248,0,196,0.047,0.116,0.83,0.275,0,34,34,34,5.6,0,0,120.6,0,0.98,0,6.2,6,22,10,0.27,0.16,0.049,0,188,0,0,0,0,0,0,0,0,0,0,0.053,0.006,0.002,0.006,0,0,0.077,0.032,0,0,0,0,0,93.02
"Peppers, red, cooked",75226060,6406,Other red and orange vegetables,55,0.92,6.71,4.24,1.2,2.78,0.753,0.948,0.918,2,11,162,19,1561,469,0,49,0.05,0.136,0.981,0.292,0,40,40,40,5.9,0,0,121.5,0,1.99,0,7.1,6,28,11,0.36,0.2,0.04,0,215,126,0,0,0,0.019,0.013,0.008,0.018,0.021,0.066,0.436,0.146,0.019,0.91,0.012,0,0.777,0.141,0,0.001,0,0,0,88.88
"Peppers, sweet, green, raw",75122100,6420,Other vegetables and combinations,23,0.72,4.78,2.4,0.9,0.11,0.058,0.008,0.062,0,0,18,21,208,7,0,341,0.039,0.089,0.636,0.247,0,22,22,22,5.5,0,0,99.5,0,0.37,0,7.4,7,17,9,0.19,0.13,0.058,0,163,0,0,0,0,0,0,0,0,0,0,0.05,0.008,0,0.008,0,0,0.054,0.008,0,0,0,0,0,94.12
"Peppers, sweet, red, raw",75122200,6406,Other red and orange vegetables,31,0.9,6.65,4.2,1.2,0.13,0.059,0.007,0.156,0,0,157,20,1624,490,0,51,0.055,0.142,1.024,0.303,0,47,47,47,5.6,0,0,141.7,0,1.58,0,4.9,6,27,11,0.35,0.2,0.04,0,213,0,0,0,0,0,0,0,0,0,0,0.056,0.004,0.004,0.004,0,0,0.1,0.056,0,0,0,0,0,91.93
"Persimmon, raw",63139010,6018,Other fruits and fruit salads,70,0.58,18.59,12.53,3.6,0.19,0.02,0.037,0.043,0,0,81,0,253,1447,159,834,0.03,0.02,0.1,0.1,0,8,8,8,7.6,0,0,7.5,0,0.73,0,2.6,8,17,9,0.15,0.11,0.113,0.6,161,1,0,0,0,0,0,0,0,0,0.001,0.016,0.003,0,0.037,0,0,0.039,0.004,0,0,0,0,0,80.32
"Pickles, NFS",75511100,8408,"Olives, pickles, pickled vegetables",14,0.48,1.99,1.28,1,0.43,0.079,0.005,0.122,0,0,4,0,45,1,0,199,0.047,0.057,0.109,0.034,0,8,8,8,3.4,0,0,2.1,0,0.12,0,16.8,54,16,7,0.23,0.11,0.026,0,112,808,0,0,0,0,0,0,0,0.003,0.003,0.065,0.008,0,0.005,0,0,0.052,0.07,0,0,0,0,0,94.7
"Pie, NFS",53300100,5502,Cakes and pies,296,2.7,37.55,15.92,1.8,15.28,5.34,6.417,2.028,7,38,40,0,23,4,0,8,0.132,0.078,1.418,0.086,20,9,42,29,7.1,0,0,0.5,0.1,0.65,0,5.5,11,36,8,1.23,0.22,0.052,2.9,80,217,0,0,0,0.061,0.043,0.025,0.059,0.069,0.325,2.927,1.7,0.195,6.129,0.07,0,1.869,0.117,0,0.011,0.001,0.001,0,43.69
"Pie, peanut butter cream",53346000,5502,Cakes and pies,421,5.92,33.09,21.71,1.1,30.13,12.618,10.862,2.98,51,155,155,0,0,0,0,6,0.076,0.174,2.641,0.098,9,20,35,29,22.8,0,0,0.2,0.6,2.18,0,5.8,49,110,33,0.79,0.79,0.109,3.6,159,236,0,0,0,0.363,0.301,0.189,0.446,0.53,1.678,5.908,2.285,0.333,11.032,0.126,0.008,2.525,0.08,0,0.031,0.005,0.01,0,29.56
Pine nuts,42113000,2804,Nuts and seeds,673,13.69,13.08,3.59,3.7,68.37,4.899,18.764,34.071,0,0,1,0,17,0,0,9,0.364,0.227,4.387,0.094,0,34,34,34,55.8,0,0,0.8,0,9.33,0,53.9,16,575,251,5.53,6.45,1.324,0.7,597,2,0,0,0,0,0,0,0,0,0,3.212,1.39,0.017,17.947,0.801,0,33.15,0.164,0,0,0,0,0,2.28
"Pistachio nuts, lightly salted",42114142,2804,Nuts and seeds,579,20.32,27.3,7.47,9.9,47.21,5.847,24.945,14.028,0,0,13,0,153,0,0,1120,0.671,0.226,1.325,1.083,0,49,49,49,68.9,0,0,2.9,0,2.66,0,15.7,104,453,105,3.89,2.26,1.248,9.7,972,198,0,0,0,0,0,0,0,0,0.013,5.107,0.625,0.458,24.325,0.122,0.005,13.683,0.335,0,0.005,0,0,0,1.79
"Pistachio nuts, NFS",42114130,2804,Nuts and seeds,572,21.05,28.28,7.74,10.3,45.82,5.645,24.534,13.346,0,0,13,0,159,0,0,1160,0.695,0.234,1.373,1.122,0,51,51,51,71.4,0,0,3,0,2.17,0,13.2,107,469,109,4.03,2.34,1.293,10,1007,6,0,0,0,0,0,0,0,0,0.012,4.994,0.558,0.464,23.926,0.106,0.005,13.125,0.212,0,0.005,0,0,0,1.85
"Pistachio nuts, NFS",42114130,2804,Nuts and seeds,572,21.05,28.28,7.74,10.3,45.82,5.645,24.534,13.346,0,0,13,0,159,0,0,1160,0.695,0.234,1.373,1.122,0,51,51,51,71.4,0,0,3,0,2.17,0,13.2,107,469,109,4.03,2.34,1.293,10,1007,6,0,0,0,0,0,0,0,0,0.012,4.994,0.558,0.464,23.926,0.106,0.005,13.125,0.212,0,0.005,0,0,0,1.85
"Pistachio nuts, salted",42114140,2804,Nuts and seeds,576,20.22,27.16,7.43,9.9,46.98,5.818,24.821,13.958,0,0,12,0,153,0,0,1114,0.667,0.225,1.319,1.078,0,49,49,49,68.6,0,0,2.9,0,2.65,0,15.7,103,450,105,3.88,2.25,1.242,9.6,967,389,0,0,0,0,0,0,0,0,0.013,5.081,0.621,0.456,24.205,0.122,0.005,13.615,0.333,0,0.005,0,0,0,1.78
"Pistachio nuts, unsalted",42114145,2804,Nuts and seeds,582,20.42,27.43,7.51,10,47.44,5.877,25.069,14.098,0,0,13,0,154,0,0,1125,0.674,0.227,1.332,1.088,0,49,49,49,69.3,0,0,2.9,0,2.68,0,15.8,104,455,106,3.91,2.27,1.254,9.7,977,6,0,0,0,0,0,0,0,0,0.013,5.132,0.628,0.461,24.447,0.123,0.005,13.751,0.337,0,0.005,0,0,0,1.79
Pizza rolls,58108050,3602,Pizza,345,9.19,53.39,3.94,1.3,10.5,2.625,4.052,3.003,6,47,63,7,198,0,6186,4,0.17,0.201,1.966,0.066,26,8,52,34,13.5,0.27,0,0,0,1.67,0,4.8,132,144,21,1.9,0.77,0.138,12.7,317,631,0,0,0,0.053,0.011,0.013,0.026,0.021,0.177,1.553,0.714,0.069,3.956,0,0,2.785,0.211,0,0,0,0,0,24.06
"Plum, raw",63143010,6018,Other fruits and fruit salads,46,0.7,11.42,9.92,1.4,0.28,0.017,0.134,0.044,0,0,17,0,190,35,0,73,0.028,0.026,0.417,0.029,0,5,5,5,1.9,0,0,9.5,0,0.26,0,6.4,6,16,7,0.17,0.1,0.057,0,157,0,0,0,0,0,0,0,0,0,0,0.014,0.003,0.002,0.132,0,0,0.044,0,0,0,0,0,0,87.23
"Pomegranate, raw",63145010,6018,Other fruits and fruit salads,83,1.67,18.7,13.67,4,1.17,0.12,0.093,0.079,0,0,0,0,0,0,0,0,0.067,0.053,0.293,0.075,0,38,38,38,7.6,0,0,10.2,0,0.6,0,16.4,10,36,12,0.3,0.35,0.158,0.5,236,3,0,0,0,0,0,0,0,0.006,0.006,0.07,0.038,0.012,0.077,0.004,0,0.079,0,0,0,0,0,0,77.93
"Popcorn, caramel coated",54403110,5006,Popcorn,428,3.77,78.47,52.77,5.2,12.7,3.581,2.857,4.444,0,2,2,0,1,0,0,0,0.064,0.069,2.183,0.028,0,5,5,5,23.3,0.01,0,0,0,1.19,0,12.4,43,82,35,1.73,0.57,0.118,3.6,108,512,0,0,0,0.109,0.069,0.04,0.089,0.099,0.367,2.103,0.714,0.099,2.758,0,0,4.038,0.397,0,0,0,0,0,2.78
"Popcorn, caramel coated, with nuts",54403120,5006,Popcorn,397,6.35,80.06,45,3.8,7.74,1.032,2.708,3.244,0,0,4,23,35,0,0,575,0.051,0.125,1.974,0.184,0,16,16,16,17.2,0,0,0,0,0.84,0,3.9,66,126,79,3.88,1.23,0.295,3.9,352,483,0,0,0,0,0,0,0,0,0,0.813,0.159,0.01,2.649,0.05,0,3.185,0.06,0,0,0,0,0,3.28
"Popcorn, chocolate coated",54403160,5006,Popcorn,407,5.34,76.37,47.66,8.3,12.79,4.024,3.025,4.044,0,2,2,0,1,0,0,4,0.066,0.086,2.181,0.037,0,8,8,8,22.2,0.01,0,0,0,1.08,0,11.4,51,147,81,2.93,1.19,0.482,4.6,249,493,23,204,0,0.098,0.062,0.036,0.08,0.089,0.332,2.259,1.064,0.089,2.936,0,0,3.678,0.357,0,0,0,0,0,2.8
"Popcorn, microwave, kettle",54403059,5006,Popcorn,504,9.35,58.01,2.2,10.5,27.5,4.595,7.553,13.515,0,0,7,42,64,0,0,1048,0.075,0.06,1.668,0.114,0,22,22,22,15.4,0,0,0,0,5.12,0,8.4,6,259,104,2.31,2.23,0.189,0,238,601,0,0,0,0,0,0,0,0,0.009,2.951,1.438,0.025,7.421,0.097,0.001,13.202,0.322,0,0,0,0,0,2.58
"Popcorn, microwave, NFS",54403051,5006,Popcorn,518,9.13,54.99,0.61,10.2,30.57,14.304,6.777,7.417,0,0,7,41,63,0,0,1024,0.073,0.059,1.629,0.111,0,22,22,22,15,0,0,0,0,2.07,0,28.4,6,253,102,2.26,2.18,0.185,0,232,764,0,0,0,0.001,0.047,0.667,0.528,4.098,1.646,2.709,4.406,0.018,6.683,0.071,0.004,7.077,0.34,0,0,0,0,0,2.36
"Popcorn, NFS",54403001,5006,Popcorn,518,9.13,54.99,0.61,10.2,30.57,14.304,6.777,7.417,0,0,7,41,63,0,0,1024,0.073,0.059,1.629,0.111,0,22,22,22,15,0,0,0,0,2.07,0,28.4,6,253,102,2.26,2.18,0.185,0,232,764,0,0,0,0.001,0.047,0.667,0.528,4.098,1.646,2.709,4.406,0.018,6.683,0.071,0.004,7.077,0.34,0,0,0,0,0,2.36
"Popcorn, ready-to-eat, NFS",54403080,5006,Popcorn,530,8.88,53.38,0.6,10,32.53,4.378,8.799,17.15,0,0,7,40,61,0,0,995,0.071,0.057,1.584,0.108,0,21,21,21,14.6,0,0,0,0,6.85,0,1.4,6,246,99,2.19,2.11,0.18,0,226,764,0,0,0,0,0,0,0,0,0.01,3.633,0.517,0.03,8.639,0.117,0,16.818,0.343,0,0,0,0,0,2.29
"Popsicle, NFS",91610900,5806,"Gelatins, ices, sorbets",79,0,19.23,13.66,0,0.24,0.013,0.051,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1,0.54,0.15,0,0.2,15,7,0,0,0,0,0,0,0,0,0,0.013,0,0,0.051,0,0,0.015,0,0,0,0,0,0,80.49
"Pork, belly",22708020,2006,Pork,404,26.58,0,0,0,32.24,11.675,13.977,5.375,104,10,10,0,0,0,0,0,0.54,0.395,8.918,0.485,0,0,0,0,91.9,0.89,0,0,1.6,0.28,0,0,55,198,20,1.08,3.52,0.131,37.4,284,448,0,0,0,0,0,0,0.031,0.027,0.425,7.184,3.821,0.672,13.076,0.226,0,4.799,0.219,0,0.117,0,0.023,0.003,39.51
"Pork, bones",22706010,2006,Pork,236,26.15,0,0,0,13.78,4.854,5.929,1.507,87,2,2,0,0,0,0,0,0.606,0.288,5.999,0.538,0,2,2,2,79.5,0.69,0,0.1,0.9,0.13,0,0,20,219,24,1.1,3.04,0.089,41.7,338,364,0,0,0,0,0,0,0.01,0.008,0.169,2.985,1.602,0.34,5.463,0.099,0,1.314,0.054,0,0.078,0,0,0,58.07
"Pork, NFS",22000100,2006,Pork,192,27.14,0,0,0,8.67,3.026,3.718,0.997,77,0,0,0,0,0,0,0,0.605,0.234,7.546,0.615,0,0,0,0,81.1,0.65,0,0,0.7,0.17,0,0,10,245,26,0.79,2.44,0.088,44.8,402,348,0,0,0,0,0,0,0.006,0.005,0.108,1.873,0.996,0.211,3.439,0.058,0,0.853,0.034,0,0.068,0,0.001,0,62.2
"Potato chips, NFS",71200010,5002,Potato chips,532,6.39,53.83,0.33,3.1,33.98,3.4,18.963,8.282,0,0,0,0,0,0,0,0,0.213,0.088,4.762,0.531,0,29,29,29,12.1,0,0,21.6,0,10.45,0,22.1,21,153,63,1.28,1.09,0.234,2.5,1196,527,0,0,0,0,0,0.002,0.001,0,0.044,2.157,0.802,0.069,18.6,0.243,0.01,7.904,0.358,0,0.009,0.001,0,0,1.86
"Potato chips, popped, NFS",71203030,5002,Potato chips,469,5,71.4,5.01,4.8,18.2,2.631,9.91,4.234,0,0,0,0,0,0,0,0,0.34,0.07,4.09,0.51,0,0,0,0,31.6,0,0,0,0,2.18,0,7.2,125,274,43,0.8,0.45,0.104,8.1,721,536,0,0,0,0,0,0,0,0.014,0.003,1.812,0.802,0,9.91,0,0,4.037,0.197,0,0,0,0,0,1.4
"Potato chips, reduced fat",71201050,5002,Potato chips,482,7.03,67.13,0.22,6,20.59,4.119,4.752,10.832,0,0,0,0,0,0,0,0,0.208,0.267,6.931,0.663,0,10,10,10,52.5,0,0,25.4,0,5.42,0,13.2,21,191,88,1.34,1,0.345,8,1727,391,0,0,0,0,0,0,0,0,0.119,3.485,0.505,0.495,4.257,0,0,10.644,0.188,0,0,0,0,0,0.99
"Potato chips, unsalted",71202000,5002,Potato chips,537,6.25,59.66,0.19,5.4,30.3,5.269,7.548,15.975,0,0,0,0,0,0,0,0,0.185,0.238,6.16,0.59,0,9,9,9,46.7,0,0,22.6,0,7.53,0,11.9,18,170,78,1.19,0.89,0.306,7.1,1535,7,0,0,0,0,0,0,0,0,0.11,4.43,0.638,0.451,7.048,0.044,0,15.688,0.292,0,0,0,0,0,0.88
Potato pancake,71701000,6806,Mashed potatoes and white potato mixtures,196,4.47,20.64,1.11,2.2,10.8,1.759,4.426,3.826,66,29,29,0,1,2,0,91,0.111,0.112,1.239,0.294,5,21,30,26,57.9,0.14,0,15.6,0.4,1.9,0,11.1,22,91,26,1.3,0.53,0.115,6,448,402,0,0,0,0,0,0,0.001,0.003,0.011,1.266,0.396,0.071,4.281,0.061,0,3.358,0.408,0,0,0,0,0,61.85
Potato patty,71503010,6804,French fries and other fried white potatoes,171,3.89,13.49,1.48,1.5,11.32,3.112,4.083,3.195,74,63,64,0,13,2,0,81,0.107,0.143,0.992,0.093,5,14,23,19,53.7,0.28,0,0.5,0.5,1.56,0,8,33,77,13,0.75,0.44,0.018,6.3,219,219,0,0,0,0.058,0.045,0.029,0.072,0.082,0.274,1.818,0.619,0.112,3.876,0.051,0.001,2.784,0.339,0.001,0.005,0.001,0.002,0,70.15
"Potato salad, German style",71602010,6806,Mashed potatoes and white potato mixtures,108,2.92,17.17,1.46,1.9,3.22,1.199,1.394,0.458,5,0,2,0,18,2,0,40,0.068,0.048,1.376,0.262,0,23,23,23,15.3,0.03,0,7.8,0.1,0.07,0,2.8,17,67,24,0.89,0.38,0.097,1.7,446,181,0,0,0,0,0,0,0.003,0.007,0.041,0.74,0.394,0.08,1.276,0.029,0,0.402,0.04,0,0.005,0,0.001,0,74.81
"Potato sticks, flavored",71205030,5002,Potato chips,517,6.63,52.77,0.22,3.4,34.06,8.792,6.099,17.723,0,0,0,0,0,0,0,0,0.095,0.115,4.738,0.317,0,40,40,40,34.6,0,0,46.8,0,9.02,0,21.9,18,170,63,2.25,0.98,0.312,8,1225,1010,0,0,0,0,0,0,0,0,0.267,7.733,0.792,0.267,5.822,0,0,17.624,0.069,0,0.03,0,0,0,2.18
"Potato tots, frozen, baked",71505040,6804,French fries and other fried white potatoes,187,2.03,26.1,0.3,2.4,9.17,1.493,3.554,3.305,0,0,0,0,3,0,0,16,0.184,0.064,1.911,0.204,0,17,17,17,26.2,0,0,6.9,0,0.12,0,2.6,14,67,17,0.5,0.27,0.079,0.3,260,451,0,0,0,0,0,0,0,0,0.038,1.123,0.248,0.031,3.457,0.058,0.001,3.054,0.244,0,0.002,0,0,0,60.84
"Potato tots, frozen, fried",71505050,6804,French fries and other fried white potatoes,237,1.9,24.4,0.28,2.3,15.46,2.315,6.24,5.734,0,0,0,0,3,0,0,15,0.172,0.06,1.786,0.191,0,16,16,16,24.5,0,0,6.4,0,1.42,0,9.4,13,63,16,0.47,0.26,0.074,0.3,243,421,0,0,0,0,0,0,0,0,0.039,1.71,0.43,0.053,6.074,0.101,0.001,5.195,0.529,0,0.002,0,0,0,56.52
"Potato tots, NFS",71505000,6804,French fries and other fried white potatoes,237,1.9,24.4,0.28,2.3,15.46,2.315,6.24,5.734,0,0,0,0,3,0,0,15,0.172,0.06,1.786,0.191,0,16,16,16,24.5,0,0,6.4,0,1.42,0,9.4,13,63,16,0.47,0.26,0.074,0.3,243,421,0,0,0,0,0,0,0,0,0.039,1.71,0.43,0.053,6.074,0.101,0.001,5.195,0.529,0,0.002,0,0,0,56.52
"Potato, baked, NFS",71100100,6802,"White potatoes, baked or boiled",93,1.95,21.45,1.69,1.5,0.1,0.026,0.002,0.043,0,0,0,0,0,0,0,0,0.105,0.021,1.389,0.3,0,9,9,9,14.4,0,0,12.7,0,0.04,0,0.3,5,50,25,0.35,0.29,0.214,0.3,389,181,0,0,0,0,0,0,0.001,0.003,0.001,0.016,0.004,0.001,0.001,0,0,0.032,0.01,0,0,0,0,0,75.08
"Potato, baked, peel eaten",71508001,6802,"White potatoes, baked or boiled",93,2.49,21.05,1.18,2.2,0.13,0.034,0.003,0.057,0,0,1,0,6,0,0,30,0.064,0.048,1.404,0.31,0,28,28,28,14.7,0,0,9.6,0,0.04,0,2,15,70,28,1.08,0.36,0.117,0.4,533,186,0,0,0,0,0,0,0.001,0.004,0.001,0.022,0.005,0.001,0.001,0,0,0.043,0.013,0,0,0,0,0,74.55
"Potato, boiled, NFS",71102980,6802,"White potatoes, baked or boiled",126,1.87,20.45,1.62,1.4,4.25,1.113,1.478,1.234,3,18,19,0,8,0,0,0,0.1,0.02,1.324,0.312,0,9,9,9,14.1,0,0,12.1,0,0.66,0,3.7,5,48,24,0.34,0.28,0.204,0.3,372,166,0,0,0,0.029,0.021,0.012,0.029,0.036,0.105,0.61,0.226,0.024,1.421,0.019,0,1.091,0.142,0,0.002,0,0.001,0,72.09
"Potato, french fries, NFS",71400990,6804,French fries and other fried white potatoes,225,2.5,23.23,0.34,1.8,14.07,1.986,5.556,4.857,0,0,0,0,3,0,0,15,0.118,0.029,1.888,0.237,0,21,21,21,21.6,0,0,7.8,0,2.08,0,15.9,11,79,22,0.53,0.32,0.095,0.4,435,295,0,0,0,0,0,0.005,0.019,0.005,0.018,1.424,0.395,0.041,5.412,0.095,0,4.242,0.611,0,0,0,0,0,58.58
"Potato, hash brown, NFS",71404000,6804,French fries and other fried white potatoes,217,2.62,28.23,0.27,3.2,11.48,0.925,7.223,2.757,0,0,0,0,0,0,0,0,0.133,0.033,2.291,0.234,0,16,16,16,23,0,0,6.6,0,2.17,0,17.9,17,78,28,0.54,0.38,0.114,0.5,491,398,0,0,0,0.01,0,0.004,0.009,0.004,0.008,0.518,0.238,0.024,6.986,0.2,0.006,2.295,0.441,0,0.003,0,0,0,55.4
